SIC07 description	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Human health activities	1,654	1,696	1,782	1,861	1,886	1,882	1,812	1,912	1,999	2,203	2,226	2,518	2,415	2,529	2,712	2,690	2,630	2,624	2,721	2,719
Residential care activities	310	317	329	290	348	393	394	441	523	522	606	590	562	614	639	667	760	860	884	893
Social work activities	389	386	414	395	456	572	606	639	612	536	506	451	422	356	358	358	334	312	330	381
Human health and social work activities	2,353	2,400	2,526	2,549	2,688	2,828	2,788	2,966	3,112	3,252	3,332	3,559	3,399	3,507	3,722	3,725	3,728	3,796	3,935	3,994
Creative, arts and entertainment activities	64	51	62	59	30	28	24	25	28	26	36	34	35	44	50	38	35	30	30	36
Libraries, archives, museums and other cultural activities	81	70	77	75	62	61	55	63	62	56	72	87	95	107	118	130	128	102	93	93
Gambling and betting activities	120	141	150	135	137	166	144	135	145	247	338	288	261	255	244	205	206	221	241	204
Sports, amusement and recreation activities	103	92	108	124	124	140	145	171	149	129	116	123	109	112	110	108	104	78	87	83
Arts, entertainment and recreation	349	344	382	374	341	384	354	375	370	457	571	535	501	517	517	472	466	431	452	416
Activities of membership organisations	320	346	408	343	384	352	382	399	470	404	441	515	484	514	528	492	519	502	456	448
Repair of computers, personal and household goods	28	26	19	22	22	17	14	18	17	20	19	21	20	24	19	18	24	30	24	30
Other personal service activities	236	230	237	270	251	253	242	258	269	270	273	254	248	251	227	229	278	325	319	335
Other service activities	559	580	645	613	644	607	629	664	748	687	728	794	755	793	777	742	824	856	799	813
Households as employers and own use production	118	144	164	180	172	163	125	98	61	32	41	41	62	60	68	72	104	125	102	69
Activities of households 	118	144	164	180	172	163	125	98	61	32	41	41	62	60	68	72	104	125	102	69
Services sector	20,225	20,877	21,822	22,282	22,778	24,163	24,524	25,604	26,408	26,563	26,310	26,056	25,407	26,212	26,919	26,746	27,364	27,494	28,173	28,875
